variable,domain,source_topic,analytic_core,exclusion_reason,notes
PRES20,Political & Economic Orientations,Voting and political preferences,0,excluded_voting_items,Excluded: presidential vote choice item.
VOTE16,Political & Economic Orientations,Voting and political preferences,0,excluded_voting_items,"Excluded: voting behavior item, not an attitude measure."
VOTE20,Political & Economic Orientations,Voting and political preferences,0,excluded_voting_items,"Excluded: voting behavior item, not an attitude measure."
ADOPTUS,NA,Immigration,0,not_fielded_all_years,
CANTRUST,Well-being & Life Orientations,Subjective well-being and social life orientations,0,not_fielded_all_years,
COLHOMO,Civil Liberties & Government,Civil liberties (Stouffer),0,not_fielded_all_years,"Civil liberties item: allow homosexual to teach at college. Dropped from 2022/2024 GSS; not in 2024 codebook. Companion items COLATH, COLRAC, COLCOM, COLMSLM are in the analytic core."
COLMIL,Civil Liberties & Government,Civil liberties (Stouffer),0,not_fielded_all_years,"Civil liberties item: allow militarist to teach at college. Dropped from 2022/2024 GSS; not in 2024 codebook. Companion items COLATH, COLRAC, COLCOM, COLMSLM are in the analytic core."
EMAILHR,NA,Computer and internet usage,0,not_fielded_all_years,"Hours per week on email — continuous item, not binary-recodable. Last fielded 2018; not in 2022/2024."
EMAILMIN,NA,Computer and internet usage,0,not_fielded_all_years,"Minutes per week on email — continuous item, not binary-recodable. Last fielded 2018; not in 2022/2024."
IMMCRIME,NA,Immigration,0,not_fielded_all_years,
IMMFATE,NA,Immigration,0,not_fielded_all_years,
IMMJOBS,NA,Immigration,0,not_fielded_all_years,
INTLBLKS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,
INTLHSPS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,
INTLWHTS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,
LETINASN,NA,Immigration,0,not_fielded_all_years,5-category immigration attitude item (Asian immigrants). Recoded in 01_data_preparation.qmd but absent from GLM and forest outputs. Fielded only once pre-2022 (single entry in vars-by-year); not in 2016/2018 baseline.
LETINHSP,NA,Immigration,0,not_fielded_all_years,5-category immigration attitude item (Latin American immigrants). Recoded in 01_data_preparation.qmd but absent from GLM and forest outputs. Fielded only once pre-2022 (single entry in vars-by-year); not in 2016/2018 baseline.
LIBHOMO,Civil Liberties & Government,Civil liberties (Stouffer),0,not_fielded_all_years,"Civil liberties item: allow homosexual's book in public library. Dropped from 2022/2024 GSS; not in 2024 codebook. Companion items LIBATH, LIBRAC, LIBCOM, LIBMSLM are in the analytic core."
LIBMIL,Civil Liberties & Government,Civil liberties (Stouffer),0,not_fielded_all_years,"Civil liberties item: allow militarist's book in public library. Dropped from 2022/2024 GSS; not in 2024 codebook. Companion items LIBATH, LIBRAC, LIBCOM, LIBMSLM are in the analytic core."
LIVEBLKS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,Racial contact item: favor/oppose close relative living in neighborhood with Black people. Fielded in 2022 but not 2024 (NOT AVAILABLE IN THIS RELEASE in 2024 codebook).
LIVEWHTS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,Racial contact item: favor/oppose close relative living in neighborhood with White people. Confirmed not fielded in 2022/2024.
MARASIAN,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,Not fielded in 2024 (coded NOT AVAILABLE IN THIS RELEASE). 5-point favor/oppose scale re close relative marrying an Asian American person. Fielded in 2022; would require 2022-only analysis.
MARBLK,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,Not fielded in 2024 (coded NOT AVAILABLE IN THIS RELEASE). 5-point favor/oppose scale re close relative marrying a Black person. Fielded in 2022; would require 2022-only analysis.
MARHISP,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,Not fielded in 2024 (coded NOT AVAILABLE IN THIS RELEASE). 5-point favor/oppose scale re close relative marrying a Hispanic/Latino person. Fielded in 2022; would require 2022-only analysis.
MARWHT,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,Not fielded in 2024 (coded NOT AVAILABLE IN THIS RELEASE). 5-point favor/oppose scale re close relative marrying a White person. Fielded in 2022; would require 2022-only analysis.
NATMASS,Political & Economic Orientations,Priorities for national spending,0,not_fielded_all_years,National spending item (mass transportation). Not fielded in 2022/2024. Companion natspend items are in the analytic core.
NATPARK,Political & Economic Orientations,Priorities for national spending,0,not_fielded_all_years,National spending item (parks and recreation). Not fielded in 2022/2024. Companion natspend items are in the analytic core.
NOATHOME,NA,Conflict with work,0,not_fielded_all_years,
NONURSE,NA,Conflict with work,0,not_fielded_all_years,
RACDIF5,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,"Not fielded in 2016/2018 — new item introduced in 2024. Asks whether racial differences are due to discrimination (1=Yes, 2=No). Note: coding direction is opposite to RACDIF1-4 where 1=conservative response; if added to future analyses, recode as to0=1, to1=2 for directional consistency."
REFMORWK,NA,Conflict with work,0,not_fielded_all_years,
REFPROMO,NA,Conflict with work,0,not_fielded_all_years,
RELIGINF,NA,Miscellaneous topics,0,not_fielded_all_years,
SPKHOMO,Civil Liberties & Government,Civil liberties (Stouffer),0,not_fielded_all_years,"Civil liberties item: allow homosexual to speak in community. Dropped from 2022/2024 GSS; not in 2024 codebook. Companion items SPKATH, SPKRAC, SPKCOM, SPKMSLM are in the analytic core."
SPKMIL,Civil Liberties & Government,Civil liberties (Stouffer),0,not_fielded_all_years,"Civil liberties item: allow militarist to speak in community. Dropped from 2022/2024 GSS; not in 2024 codebook. Companion items SPKATH, SPKRAC, SPKCOM, SPKMSLM are in the analytic core."
SUICIDE3,Well-being & Life Orientations,Suicide,0,not_fielded_all_years,"Not fielded in 2024 (confirmed via 2024 codebook distribution tables). SUICIDE1, SUICIDE2, SUICIDE4 are in the analytic core. Would require 2022-only analysis."
USEWWW,NA,Computer and internet usage,0,not_fielded_all_years,
WLTHHSPS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,
WORKHSPS,Race & Inequality,Racial attitudes and stereotypes,0,not_fielded_all_years,
WORKLESS,NA,Conflict with work,0,not_fielded_all_years,
WWWHR,NA,Computer and internet usage,0,not_fielded_all_years,"Hours per week on internet — continuous item, not binary-recodable as attitude measure. Last fielded 2018; not in 2022/2024."
WWWMIN,NA,Computer and internet usage,0,not_fielded_all_years,"Minutes per week on internet (companion to WWWHR) — continuous, not binary-recodable. Last fielded 2018; not in 2022/2024."
MARHOMO,Social Attitudes & Morality,Sexual behavior,0,wording_experiment_variant,Pre-2022 name for MARSAME. Renamed in 2022 GSS; wording otherwise identical. See MARSAME notes for harmonization details.
MARSAME,Social Attitudes & Morality,Sexual behavior,0,wording_experiment_variant,Rename of MARHOMO (pre-2022). Scale: 1=Strongly Agree to 5=Strongly Disagree. ~65% NOT APPLICABLE skip (asked in sequence with PILLOK/SPANKING). Wording identical to MARHOMO; series substantively continuous. MARSAMEY is a 2022/2024 wording experiment variant ('same-sex couple' replacing 'homosexual couple'). To include in persistence analysis: harmonize MARHOMO (2016/2018) with MARSAME (2022/2024) and handle skip pattern (same concern as HAPMAR/HAPCOHAB).
MARSAMEY,Social Attitudes & Morality,Sexual behavior,0,wording_experiment_variant,Wording experiment variant of MARSAME: replaces 'homosexual couple' with 'same-sex couple'. Form 2 only. Parent variable MARSAME is the analysis item.
XMOVIEY,Social Attitudes & Morality,Sexual behavior,0,wording_experiment_variant,Wording experiment variant of XMOVIE: replaces 'X-rated movie' with 'pornography' and includes internet as a source. Form 2 only in 2022/2024. Parent variable XMOVIE is the analysis item.
